index,address,city,state,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,longitude
6795,West Sheringham,norfolk-virginia beach,va,23454.0,Homeowners Community,1,False,False,False,False,False,False,36.8596134,-76.0300791
6796,Crescent Moon Court,raleigh-durham-chapel hill,nc,27606.0,Homeowners Community,1,False,False,False,False,True,False,35.7797771,-78.7425971
6797,West Ottawa Street,chicago,il,60544.0,Public,1,False,False,False,False,False,False,41.6073144,-88.198743
6798,New Halls Ferry Road,st. louis,mo,63033.0,Homeowners Community,1,False,False,False,False,False,False,38.8132035,-90.2978969
6799,North Oxford Avenue,los angeles,ca,91711.0,Public,8,False,False,False,False,True,False,34.114727,-117.7240849
6800,North Bonarden Lane,phoenix,az,85284.0,Public,8,False,True,False,False,True,False,33.3241994,-111.9266081
6801,East Apartment,phoenix,az,85282.0,Homeowners Community,1,False,True,False,False,True,False,33.4083198,-111.9128108
6802,North Street,chicago,il,60150.0,Public,2,False,False,False,False,False,False,41.9337413,-88.860388
6803,Swordfish Street,san francisco - oakland - san jose,ca,94404.0,Public,4,False,False,False,False,False,False,37.557838,-122.2491539
6804,Diamond Street,san diego,ca,92109.0,Public,2,False,False,False,False,True,False,32.8011997,-117.2444415
6805,Dietrich Drive,sacramento-yolo,ca,95678.0,Public,2,False,False,False,False,True,False,38.7461846,-121.282872
6806,West Atlantic Boulevard,miami-fort lauderdale,fl,33066.0,Homeowners Community,2,False,False,False,False,True,False,26.2319634,-80.1820099
6807,Samuell Boulevard,dallas - fort worth,tx,75149.0,Homeowners Community,1,False,False,False,False,False,False,32.7942825,-96.6646564
6808,Westheimer Parkway,houston - galveston - brazoria,tx,77494.0,Homeowners Community,2,False,True,False,False,True,False,29.7632691,-95.8130121
6809,Briarhills Parkway,houston - galveston - brazoria,tx,77077.0,Homeowners Community,2,False,True,False,False,True,False,29.7685776,-95.6385076
6810,Stonecliffe Drive,pittsburgh,pa,15146.0,Homeowners Community,2,False,False,False,False,True,False,40.4315221,-79.7648621
6811,Heritage Falls Drive,houston - galveston - brazoria,tx,77546.0,Homeowners Community,2,False,True,False,False,True,False,29.5450305,-95.1834655
6812,Brays Bayou Trail,houston - galveston - brazoria,tx,77030.0,Homeowners Community,2,False,False,False,False,True,False,29.7070182,-95.3878632
6813,Baymeadows Ap,jacksonville,fl,32256.0,Homeowners Community,2,False,False,False,False,True,False,30.2143804,-81.5457416
6814,Roseheart,san antonio,tx,78259.0,Homeowners Community,1,False,False,False,False,True,False,29.6225502,-98.418054
